National_Olympic_Committees,Countries,year,Host_city,total_athletes,total-medals,Athletes_per_medal
AUT,Austria,1960,Squaw Valley ,26.0,6,4.33
CAN,Canada,1960,Squaw Valley ,44.0,4,11.0
FIN,Finland,1960,Squaw Valley ,48.0,8,6.0
FRA,France,1960,Squaw Valley ,26.0,3,8.67
GER,Germany,1960,Squaw Valley ,74.0,8,9.25
ITA,Italy,1960,Squaw Valley ,28.0,1,28.0
NED,Netherlands,1960,Squaw Valley ,7.0,2,3.5
NOR,Norway,1960,Squaw Valley ,29.0,6,4.83
URS,Soviet Union,1960,Squaw Valley ,62.0,21,2.95
USA,USA,1960,Squaw Valley ,79.0,10,7.9
SUI,Switzerland,1960,Squaw Valley ,21.0,2,10.5
SWE,Sweden,1960,Squaw Valley ,47.0,5,9.4
AUT,Austria,1964,Innsbruck,83.0,12,6.92
CAN,Canada,1964,Innsbruck,55.0,3,18.33
FIN,Finland,1964,Innsbruck,51.0,10,5.1
FRA,France,1964,Innsbruck,24.0,7,3.43
GER,Germany,1964,Innsbruck,96.0,9,10.67
ITA,Italy,1964,Innsbruck,61.0,4,15.25
NED,Netherlands,1964,Innsbruck,6.0,2,3.0
NOR,Norway,1964,Innsbruck,58.0,15,3.87
URS,Soviet Union,1964,Innsbruck,69.0,25,2.76
USA,USA,1964,Innsbruck,90.0,7,12.86
SWE,Sweden,1964,Innsbruck,57.0,7,8.14
AUT,Austria,1968,Grenoble,76.0,11,6.91
CAN,Canada,1968,Grenoble,70.0,3,23.33
FIN,Finland,1968,Grenoble,52.0,5,10.4
FRA,France,1968,Grenoble,75.0,9,8.33
FRG,Federal Republic of Germany,1968,Grenoble,87.0,7,12.43
ITA,Italy,1968,Grenoble,47.0,4,11.75
NED,Netherlands,1968,Grenoble,9.0,9,1.0
NOR,Norway,1968,Grenoble,65.0,14,4.64
URS,Soviet Union,1968,Grenoble,74.0,13,5.69
USA,USA,1968,Grenoble,96.0,7,13.71
SUI,Switzerland,1968,Grenoble,34.0,6,5.67
SWE,Sweden,1968,Grenoble,68.0,8,8.5
GDR,German Democratic Republic (Germany),1968,Grenoble,57.0,5,11.4
